Id: 1, sum: 108, power: 108, red: 9, green: 3, blue:  4
Id: 2, sum: 303, power: 195, red: 5, green: 13, blue:  3
Id: 3, sum: 321, power: 18, red: 6, green: 1, blue:  3
Id: 4, sum: 777, power: 456, red: 19, green: 6, blue:  4
Id: 5, sum: 1321, power: 544, red: 2, green: 16, blue:  17
Id: 6, sum: 1411, power: 90, red: 6, green: 5, blue:  3
Id: 7, sum: 1621, power: 210, red: 2, green: 7, blue:  15
Id: 8, sum: 1873, power: 252, red: 14, green: 3, blue:  6
Id: 9, sum: 1921, power: 48, red: 16, green: 1, blue:  3
Id: 10, sum: 1956, power: 35, red: 1, green: 7, blue:  5
Id: 11, sum: 2697, power: 741, red: 3, green: 13, blue:  19
Id: 12, sum: 3057, power: 360, red: 4, green: 15, blue:  6
Id: 13, sum: 3732, power: 675, red: 9, green: 15, blue:  5
Id: 14, sum: 3912, power: 180, red: 3, green: 5, blue:  12
Id: 15, sum: 5748, power: 1836, red: 12, green: 17, blue:  9
Id: 16, sum: 6168, power: 420, red: 6, green: 14, blue:  5
Id: 17, sum: 6753, power: 585, red: 13, green: 5, blue:  9
Id: 18, sum: 6945, power: 192, red: 4, green: 8, blue:  6
Id: 19, sum: 7305, power: 360, red: 10, green: 4, blue:  9
Id: 20, sum: 7371, power: 66, red: 1, green: 11, blue:  6
Id: 21, sum: 7563, power: 192, red: 12, green: 8, blue:  2
Id: 22, sum: 8967, power: 1404, red: 12, green: 13, blue:  9
Id: 23, sum: 9687, power: 720, red: 16, green: 3, blue:  15
Id: 24, sum: 12151, power: 2464, red: 11, green: 16, blue:  14
Id: 25, sum: 12691, power: 540, red: 9, green: 5, blue:  12
Id: 26, sum: 13111, power: 420, red: 12, green: 5, blue:  7
Id: 27, sum: 13135, power: 24, red: 3, green: 4, blue:  2
Id: 28, sum: 13355, power: 220, red: 4, green: 5, blue:  11
Id: 29, sum: 14069, power: 714, red: 17, green: 3, blue:  14
Id: 30, sum: 14085, power: 16, red: 1, green: 8, blue:  2
Id: 31, sum: 16110, power: 2025, red: 15, green: 9, blue:  15
