Card 1, Value: 128, Matches: 5 13 15 16 17 39 75 92
Card 2, Value: 128, Matches: 5 18 25 51 59 64 75 94
Card 3, Value: 2, Matches: 16 33
Card 4, Value: 32, Matches: 11 18 43 68 80 96
Card 5, Value: 4, Matches: 9 28 96
Card 7, Value: 2, Matches: 30 59
Card 8, Value: 8, Matches: 73 85 88 96
Card 9, Value: 2, Matches: 77 97
Card 10, Value: 16, Matches: 24 60 62 77 84
Card 12, Value: 4, Matches: 3 11 30
Card 16, Value: 64, Matches: 21 27 43 53 68 85 86
Card 17, Value: 512, Matches: 3 10 20 38 52 55 57 67 69 96
Card 18, Value: 1, Matches: 19
Card 19, Value: 512, Matches: 24 34 45 51 59 60 69 74 83 93
Card 20, Value: 512, Matches: 4 16 28 41 44 69 83 86 88 90
Card 21, Value: 2, Matches: 8 26
Card 22, Value: 512, Matches: 18 29 37 42 57 67 68 75 88 92
Card 23, Value: 512, Matches: 3 10 17 23 45 53 64 68 70 75
Card 24, Value: 1, Matches: 9
Card 25, Value: 2, Matches: 15 92
Card 26, Value: 256, Matches: 33 42 43 51 55 59 66 92 96
Card 28, Value: 32, Matches: 33 57 72 79 87 99
Card 29, Value: 2, Matches: 73 89
Card 30, Value: 8, Matches: 4 49 57 62
Card 31, Value: 2, Matches: 7 45
Card 32, Value: 4, Matches: 35 79 85
Card 33, Value: 1, Matches: 25
Card 34, Value: 1, Matches: 11
Card 37, Value: 512, Matches: 11 18 20 37 49 53 55 86 88 95
Card 38, Value: 512, Matches: 6 13 38 46 47 48 52 70 82 91
Card 39, Value: 512, Matches: 18 24 49 50 67 76 82 89 93 98
Card 40, Value: 512, Matches: 5 15 17 26 34 51 71 87 98 99
Card 41, Value: 512, Matches: 1 10 14 28 55 57 62 88 96 98
Card 42, Value: 32, Matches: 34 41 44 45 69 98
Card 43, Value: 512, Matches: 2 23 36 37 40 42 68 75 96 98
Card 44, Value: 512, Matches: 17 28 31 44 65 66 73 80 83 84
Card 45, Value: 16, Matches: 13 52 64 67 90
Card 46, Value: 1, Matches: 40
Card 47, Value: 512, Matches: 23 25 29 34 47 64 87 89 94 99
Card 48, Value: 512, Matches: 2 23 29 37 75 76 80 82 85 91
Card 50, Value: 1, Matches: 61
Card 51, Value: 4, Matches: 1 65 86
Card 52, Value: 128, Matches: 13 36 39 55 56 69 77 95
Card 55, Value: 4, Matches: 34 83 87
Card 56, Value: 8, Matches: 10 27 37 50
Card 57, Value: 1, Matches: 57
