Cards: 235A4, Bid: 642, Strength: 1
Cards: 23TJ9, Bid: 769, Strength: 1
Cards: 245KT, Bid: 365, Strength: 1
Cards: 25J79, Bid: 161, Strength: 1
Cards: 2684Q, Bid: 996, Strength: 1
Cards: 27T98, Bid: 901, Strength: 1
Cards: 2863A, Bid: 544, Strength: 1
Cards: 2T56K, Bid: 255, Strength: 1
Cards: 2TJA6, Bid: 110, Strength: 1
Cards: 2TA36, Bid: 51, Strength: 1
Cards: 2J368, Bid: 525, Strength: 1
Cards: 2J48K, Bid: 665, Strength: 1
Cards: 2JQ94, Bid: 954, Strength: 1
Cards: 2Q987, Bid: 824, Strength: 1
Cards: 2KT3A, Bid: 675, Strength: 1
Cards: 2A8J5, Bid: 424, Strength: 1
Cards: 2AJ8T, Bid: 740, Strength: 1
Cards: 342QK, Bid: 491, Strength: 1
Cards: 3496T, Bid: 891, Strength: 1
Cards: 357QT, Bid: 128, Strength: 1
Cards: 369K4, Bid: 246, Strength: 1
Cards: 36QAT, Bid: 619, Strength: 1
Cards: 389KQ, Bid: 924, Strength: 1
Cards: 38T2J, Bid: 370, Strength: 1
Cards: 39K86, Bid: 853, Strength: 1
Cards: 3T982, Bid: 695, Strength: 1
Cards: 3TQ4J, Bid: 663, Strength: 1
Cards: 3TQ5K, Bid: 774, Strength: 1
Cards: 3TA75, Bid: 680, Strength: 1
Cards: 3QJ28, Bid: 734, Strength: 1
Cards: 3KJAQ, Bid: 842, Strength: 1
Cards: 3A8J9, Bid: 982, Strength: 1
Cards: 3A8KQ, Bid: 871, Strength: 1
Cards: 43Q68, Bid: 33, Strength: 1
Cards: 46KT2, Bid: 288, Strength: 1
Cards: 47AJ6, Bid: 174, Strength: 1
Cards: 483JK, Bid: 648, Strength: 1
Cards: 486T5, Bid: 360, Strength: 1
Cards: 48T69, Bid: 343, Strength: 1
Cards: 49837, Bid: 473, Strength: 1
Cards: 4JA6K, Bid: 320, Strength: 1
Cards: 4Q279, Bid: 971, Strength: 1
Cards: 4Q63A, Bid: 805, Strength: 1
Cards: 4K3AJ, Bid: 785, Strength: 1
Cards: 4K569, Bid: 194, Strength: 1
Cards: 4K839, Bid: 17, Strength: 1
Cards: 4A683, Bid: 722, Strength: 1
Cards: 4A73K, Bid: 679, Strength: 1
Cards: 4A827, Bid: 285, Strength: 1
Cards: 52TA4, Bid: 32, Strength: 1
Cards: 53624, Bid: 821, Strength: 1
Cards: 56289, Bid: 738, Strength: 1
Cards: 5628A, Bid: 758, Strength: 1
Cards: 56Q82, Bid: 266, Strength: 1
Cards: 57K64, Bid: 356, Strength: 1
Cards: 5843T, Bid: 849, Strength: 1
Cards: 587K2, Bid: 855, Strength: 1
Cards: 58923, Bid: 735, Strength: 1
Cards: 5T2AJ, Bid: 794, Strength: 1
Cards: 5T962, Bid: 562, Strength: 1
Cards: 5J876, Bid: 952, Strength: 1
Cards: 5K7A4, Bid: 684, Strength: 1
Cards: 5A4J8, Bid: 623, Strength: 1
Cards: 5A927, Bid: 907, Strength: 1
Cards: 62Q37, Bid: 846, Strength: 1
Cards: 62QT8, Bid: 616, Strength: 1
Cards: 63J4K, Bid: 866, Strength: 1
Cards: 645TK, Bid: 177, Strength: 1
Cards: 65A2J, Bid: 509, Strength: 1
Cards: 65AKT, Bid: 28, Strength: 1
Cards: 683TA, Bid: 810, Strength: 1
Cards: 687K5, Bid: 765, Strength: 1
Cards: 69T8Q, Bid: 653, Strength: 1
Cards: 6J527, Bid: 96, Strength: 1
Cards: 6J583, Bid: 817, Strength: 1
Cards: 6J97A, Bid: 801, Strength: 1
Cards: 6JQ45, Bid: 541, Strength: 1
Cards: 6Q7A2, Bid: 142, Strength: 1
Cards: 6K978, Bid: 633, Strength: 1
Cards: 6AJT8, Bid: 318, Strength: 1
Cards: 73QTK, Bid: 596, Strength: 1
Cards: 748K9, Bid: 597, Strength: 1
Cards: 74JA5, Bid: 242, Strength: 1
Cards: 756A4, Bid: 710, Strength: 1
Cards: 75TJ8, Bid: 77, Strength: 1
Cards: 75JT3, Bid: 11, Strength: 1
Cards: 7623J, Bid: 326, Strength: 1
Cards: 76QT5, Bid: 683, Strength: 1
Cards: 76K23, Bid: 712, Strength: 1
Cards: 7862J, Bid: 502, Strength: 1
Cards: 793T2, Bid: 979, Strength: 1
Cards: 7TJ62, Bid: 875, Strength: 1
Cards: 7J5Q9, Bid: 448, Strength: 1
Cards: 7JQT5, Bid: 835, Strength: 1
Cards: 7Q9J4, Bid: 555, Strength: 1
Cards: 7K23Q, Bid: 340, Strength: 1
Cards: 82537, Bid: 245, Strength: 1
Cards: 82563, Bid: 832, Strength: 1
Cards: 82QJ9, Bid: 885, Strength: 1
Cards: 849J7, Bid: 57, Strength: 1
Cards: 84T57, Bid: 844, Strength: 1
Cards: 85AK2, Bid: 85, Strength: 1
Cards: 87QT3, Bid: 547, Strength: 1
Cards: 892JK, Bid: 205, Strength: 1
Cards: 893A6, Bid: 778, Strength: 1
Cards: 8T53A, Bid: 257, Strength: 1
Cards: 8QA47, Bid: 295, Strength: 1
Cards: 8K492, Bid: 86, Strength: 1
Cards: 8A27J, Bid: 50, Strength: 1
Cards: 93Q28, Bid: 504, Strength: 1
Cards: 93QA8, Bid: 935, Strength: 1
Cards: 958QA, Bid: 94, Strength: 1
Cards: 95K26, Bid: 713, Strength: 1
Cards: 96573, Bid: 631, Strength: 1
Cards: 9T52Q, Bid: 622, Strength: 1
